Team,Product_prefix,Release_name,Release_ID,Release_date
Case Management,CASE,Requests - 2019 Q4 ,6707182255864430102,2019-12-31
Case Management,CASE,Requests - 2020 - Q1 ,6729456697128152699,2020-03-30
Case Management,CASE,2019 - H1,6698718001437997356,2020-06-30
Process Automation,PROCESS,2019 Q4 - Process Automation,6677990870747927527,2020-01-31
Process Automation,PROCESS,2020 Q1 - Process Automation,6693939839944660596,2020-04-30
Process Automation,PROCESS,2020 Q2 - Process Automation,6678171311614612590,2020-07-31
Process Automation,PROCESS,2020 Q3 - Process Automation,6737654397494650100,2020-10-31
Robotic Process Automation,RPA,2019 Q4 - Robotic Process Automation,6694568594524686397,2019-12-31
Robotic Process Automation,RPA,2020 Q1 - Robotic Process Automation,6738043834137201794,2020-03-31
eSignature,ESIGN,2019 Q4 - eSignature,6694504295199548900,2020-01-31
HRSD Ideas,HRSDIDEAS,Release,6753134335079075082,2020-06-28
Form Builder,FORM,2019 Q4 - Formidable,6684228923344268636,2019-12-31
Form Builder,FORM,2020 H1 - Formidable,6707566407635563838,2020-07-31
Form Builder,FORM,2020 H2 - Formidable,6733484089132649920,2020-08-01
User Interface,PDUI,November 2019 - PDUI,6742386745552863661,2019-12-01
User Interface,PDUI,December 2019 - PDUI,6742386853786239912,2019-12-20
User Interface,PDUI,Q1 2020 - PDUI,6742387833678155692,2020-01-31
Core Payroll,PAY,2019 Q4 - Compliance,6739908776093786345,2019-12-08
Core Payroll,PAY,2019 W49 - UltiPro,6737734277767209322,2019-12-12
Core Payroll,PAY,2020 W09 - UltiPro,6739908065556749704,2020-02-27
Core Payroll,PAY,2020 R2 - UltiPro,6474940358075493606,2020-10-16
NU Payroll,PAYNU,2020 Q1 (Hypothetical Restart),6516964795118820043,2020-03-31
NU Payroll,PAYNU,2020 Q2,6516964886671649275,2020-06-30
NU Payroll,PAYNU,2020 Q3,6516965412842830842,2020-09-30
Tax Reporting and Canada,TAXC,2020 W03 - Canada Tax Reporting,6756946529355230899,2020-01-17
Tax USA,TAXU,2019 - DEC 12,6756696792419032047,2019-12-12
Tax USA,TAXU,2019 - DEC 26,6756695581149335780,2019-12-26
ACA,ACA,2019 Q4,6682761898109123753,2019-12-26
ACA,ACA,2020 Q1,6737370982573445161,2020-02-28
ACA Filing Portal,ACAFP,2019 Q4,6644168534782267471,2019-12-26
ACA Filing Portal,ACAFP,2020 Q1,6758062311726861209,2020-03-31
Benefits,BEN,2020 R1 - UltiPro,6735028324903126209,2020-04-20
Benefits,BEN,2020 R2 - UltiPro,6737758680478763968,2020-10-19
Benefits Prime,PRIME,2019 Q4,6637526773655265911,2019-12-26
Benefits Prime,PRIME,2020 Q1,6674252843087774545,2020-03-31
Compensation Management,CM,2019 Q4,6738407104729963255,2019-12-31
Compensation Management,CM,V12.5.1 (R1 - Spring 2020),6705005918951286950,2020-04-20
Compensation Management,CM,V12.5.2 (R2 - Fall/YE 2020,6705006302026029207,2020-10-12
Time and Attendance,UTA,6.2.0v31,6590749894431913686,2019-12-17
Time and Attendance,UTA,6.3.0,6706269361867884667,2019-12-31
Time and Attendance,UTA,6.2.0v32,6756283835611767428,2020-02-18
Time and Attendance,UTA,R1 2020,6758760247061372690,2020-04-01
Time and Attendance,UTA,6.2.0v33,6756939997519970020,2020-04-14
Time and Attendance,UTA,6.2.0v34,6756940384272664936,2020-06-16
Time and Attendance,UTA,6.4.0,6746186705254579865,2020-07-31
Time and Attendance,UTA,6.2.0v35,6756940671030636584,2020-08-18
Time and Attendance,UTA,6.4.0v01,6741071295072746399,2020-09-30
TimeBase,TIB,2019 NOV,6738459386823071774,2019-11-26
TouchBase Web Clock,TBW,2019 NOV,6738460236925444073,2019-11-26
Time Management,UTM,5.12,6593665520134684957,2019-12-12
Time Management,UTM,6.2,6739971634828468084,2020-02-14
Time Management,UTM,R1 2020,6758763024014837247,2020-04-01
Time Management,UTM,6.4,6750302112613101599,2020-04-09
Time Management,UTM,6.6,6756635430529282684,2020-06-11
Time Management,UTM,6.8,6756684191055453292,2020-08-13
Time Management,UTM,6.10,6756684516229967199,2020-10-08
AM,WFMAM,4.13,6748051331849835406,2019-11-28
AM,WFMAM,Q4 2019,6751783162347941885,2019-12-19
AM,WFMAM,Q1 2020,6751783163337967603,2020-03-18
AM,WFMAM,Q2 2020,6751783163719732781,2020-06-30
AM,WFMAM,Q3 2020,6751783164076391009,2020-09-30
CFE,WFMCFE,4.13,6749172093431904152,2019-11-28
CFE,WFMCFE,Q4 2019,6749172094421821678,2019-12-19
CFE,WFMCFE,Q1 2020,6749172095896130838,2020-03-18
CFE,WFMCFE,Q2 2020,6749172096244778714,2020-06-30
CFE,WFMCFE,Q3 2020,6749172096591337710,2020-09-30
Nucleus,WFMNCLS,4.13,6749171921264999938,2019-11-28
Nucleus,WFMNCLS,Q4 2019,6749171922166425666,2019-12-19
Nucleus,WFMNCLS,Q1 2020,6749171923705747340,2020-03-18
Nucleus,WFMNCLS,Q2 2020,6749171924085570663,2020-06-30
Nucleus,WFMNCLS,Q3 2020,6749171924454463345,2020-09-30
Reporting,WFMRPT,4.13,6749171748822831582,2019-11-28
Reporting,WFMRPT,Q4 2019,6749171749916053827,2019-12-19
Reporting,WFMRPT,Q1 2020,6749171751715495419,2020-03-18
Reporting,WFMRPT,Q2 2020,6749171752104988752,2020-06-30
Reporting,WFMRPT,Q3 2020,6749171752541127465,2020-09-30
TOA,WFMTOA,4.13,6749171547370383825,2019-11-28
TOA,WFMTOA,Q4 2019,6749171548411322318,2019-12-19
TOA,WFMTOA,Q1 2020,6749171550144573067,2020-03-18
TOA,WFMTOA,Q2 2020,6749171550549279692,2020-06-30
TOA,WFMTOA,Q3 2020,6749171550926416793,2020-09-30
UPS,WFMUPS,4.13,6749169306604949851,2019-11-28
UPS,WFMUPS,Q4 2019,6749169307843762108,2019-12-19
UPS,WFMUPS,Q1 2020,6749169311686778933,2020-03-18
UPS,WFMUPS,Q2 2020,6749169312086190547,2020-06-30
UPS,WFMUPS,Q3 2020,6749169312704481313,2020-09-30
UPT,WFMUPT,4.13,6749171378540136160,2019-11-28
UPT,WFMUPT,Q4 2019,6749171380055075155,2019-12-19
UPT,WFMUPT,Q1 2020,6749171381920267472,2020-03-18
UPT,WFMUPT,Q2 2020,6749171382367917504,2020-06-30
UPT,WFMUPT,Q3 2020,6749171382791602369,2020-09-30
WFM Platform,WFMPL,4.13,6749137896033647602,2019-11-28
WFM Platform,WFMPL,Q4 2019,6749137897088263141,2019-12-19
WFM Platform,WFMPL,5.3,6749137898462288462,2020-02-26
WFM Platform,WFMPL,Q1 2020,6749137898868870238,2020-03-18
WFM Platform,WFMPL,Q2 2020,6749137899317371248,2020-06-30
WFM Platform,WFMPL,Q3 2020,6749137899781652884,2020-09-30
Workforce Management,WFM,4.13,6666084486628113075,2019-11-28
Workforce Management,WFM,wfm-devops-November2019,6717309435436154924,2019-11-30
Workforce Management,WFM,wfm-operations-November2019,6750695121759766088,2019-11-30
Workforce Management,WFM,Q4 2019,6666084670343790679,2019-12-19
Workforce Management,WFM,wfm-devops-December2019,6717309435855314910,2019-12-31
Workforce Management,WFM,wfm-operations-December2019,6750695353641367314,2019-12-31
Workforce Management,WFM,5.1,6738388849114484101,2020-01-15
Workforce Management,WFM,5.2,6738388986053432927,2020-02-05
Workforce Management,WFM,5.3,6738389303787875784,2020-02-26
Workforce Management,WFM,Q1 2020,6738389419974008906,2020-03-18
Workforce Management,WFM,Q2 2020,6738389779491605046,2020-06-30
Workforce Management,WFM,Q3 2020,6738389880126465534,2020-09-30
Core HR,HR,Core HR Compliance Q1 - 2020,6740033151969306732,2020-01-31
Core HR,HR,V12.5.2 (R2 - Fall/YE 2020),6665304782027787208,2020-10-15
Onboarding,ONB,2019 NOV/DEC V14,6666095255065962979,2019-12-12
Onboarding,ONB,2019 DEC Classic,6740703500297423028,2019-12-12
Onboarding,ONB,2019 DEC EOY V14,6747760516144297903,2019-12-27
Onboarding,ONB,2019 DEC EOY Classic,6747780636448984812,2019-12-27
Onboarding,ONB,2020 JAN V14,6704286706359971729,2020-01-30
Onboarding,ONB,2020 JAN Classic,6758382175932940729,2020-01-30
Onboarding,ONB,2020 FEB V14,6738757081463434241,2020-02-27
Onboarding,ONB,2020 MAR V14,6738757155041317967,2020-03-26
Continuous Performance,PERF,2019 DEC,6654684902082365487,2019-12-02
Continuous Performance,PERF,2020 JAN,6654685433971402537,2020-01-31
Continuous Performance,PERF,2020 FEB,6756707829455918023,2020-02-28
Continuous Performance,PERF,2020 MAR,6654685270459543459,2020-03-31
Continuous Performance,PERF,2020 APRIL,6741020974047273387,2020-04-30
Continuous Performance,PERF,2020 MAY,6756708434088914697,2020-05-29
Continuous Performance,PERF,2020 JUNE,6756708522136438847,2020-06-30
Continuous Performance,PERF,2020 JULY,6756708631938068631,2020-07-31
Continuous Performance,PERF,2020 AUG,6756708782935916250,2020-08-31
Continuous Performance,PERF,2020 SEPTEMBER,6758572130548180704,2020-09-30
Continuous Performance,PERF,2020 OCTOBER,6758572272680640694,2020-10-30
Learning,LRN,November 2019,6739992232676945112,2019-11-30
Learning,LRN,December 2019,6739992408085809548,2019-12-31
Learning,LRN,Q4 2019,6696866417190852230,2020-01-01
Learning,LRN,Q1 2020,6729571010198756903,2020-03-31
Learning,LRN,R1 2020 - UltiPro,6716548798525327810,2020-04-30
Learning,LRN,Q2 2020,6753180021162565839,2020-06-30
Learning,LRN,Q3 2020,6753180167904026933,2020-09-30
Perception,PERC,2019 DEC (Release 8),6629047306669198008,2019-12-02
Perception,PERC,2020 MAR (Release 9),6667219719594882422,2020-03-16
Perception,PERC,2020 Q2,6645310831683922526,2020-06-16
Perception,PERC,2020 Q3,6740088626320974504,2020-09-16
Recruiting,REC,2019 NOV/DEC,6683167227794024198,2019-12-10
Recruiting,REC,2020 JAN,6698409938986910731,2020-01-28
Recruiting,REC,2020 FEB,6740084664069263084,2020-02-25
Recruiting,REC,2020 MAR,6740084847574174281,2020-03-31
Recruiting,REC,2020 APR,6740084989625402454,2020-04-28
AI Platform,AI,Ret - M3,6691632960976091855,2019-11-30
AI Platform,AI,Ret - M4,6691633165023487488,2020-01-15
AI Platform,AI,Ret - M5,6691803186518959141,2020-02-29
Business Intelligence,BI,2019 DEC,6670157961391450785,2019-12-13
Business Intelligence,BI,2020 FEB,6706531953268660696,2020-02-13
Business Intelligence,BI,2020 APR,6746275404264168360,2020-04-09
Business Intelligence,BI,2020 JUN,6746275758494300025,2020-06-11
Data Platform,DATAPLAT,2019 NOV,6667526590044703521,2019-11-30
Data Platform,DATAPLAT,2019 DEC,6667526656019225595,2019-12-31
Data Science,DSC,2019 NOV,6696547313250431176,2019-11-29
Data Science,DSC,2019 DEC,6696496193952258254,2019-12-31
Data Science,DSC,2020 JAN,6751535394920273725,2020-01-01
Data Science,DSC,2020 FEB,6745167846924379315,2020-02-01
Data Science,DSC,2020 MAR,6745190190099746112,2020-04-01
Data Warehouse,DW,2019 DEC,6703895334098183508,2019-12-12
Data Warehouse,DW,2020 FEB,6735813233629846838,2020-02-11
Data Warehouse,DW,2020 APR,6746201600230223364,2020-04-30
Data Warehouse,DW,2020 JUN,6746204312525288896,2020-06-30
Data Warehouse,DW,2020 AUG,6759148617205287033,2020-08-27
Data Warehouse,DW,2020 SEP,6759149103122655814,2020-09-24
Data Warehouse,DW,2020 OCT,6759149341635735019,2020-10-29
DLS,DLS,November 2019,6696169905169583365,2019-11-30
DLS,DLS,December 2019,6696170066292971246,2019-12-31
DLS,DLS,January 2020,6698363987467761044,2020-01-31
DLS,DLS,February 2020,6709509052890082077,2020-02-29
DLS,DLS,March 2020,6722453494985528981,2020-03-31
DLS,DLS,April 2020,6737695364674784667,2020-04-30
DLS,DLS,May 2020,6745825751654495438,2020-05-31
DLS,DLS,June 20201,6745825857320260030,2020-07-31
OPP Datastore,OPPDS,2019 NOV,6670141997776351806,2019-11-30
OPP Datastore,OPPDS,2019 DEC,6670150058390441120,2019-12-31
OPP Datastore,OPPDS,2020 JAN,6729487103981901486,2020-01-31
OPP Datastore,OPPDS,2020 FEB,6729487301771858142,2020-02-29
OPP Datastore,OPPDS,2020 MAR,6729487411865780267,2020-03-31
OPP Datastore,OPPDS,2020 APR,6753246431919982053,2020-04-30
Privacy Manager,PRIVMGR,2019 NOV - CCPA/GDPR Compliance (Portal),6678328956761953714,2019-11-30
Privacy Manager,PRIVMGR,2019 Q4 - CCPA/GDPR Compliance (Portal),6670177112846400625,2019-12-31
Privacy Manager,PRIVMGR,2019 DEC - CCPA/GDPR Compliance (Portal),6678329256225341243,2019-12-31
Privacy Manager,PRIVMGR,2020 JAN  - CCPA/GDPR Compliance (Portal),6678329427102124201,2020-01-31
Privacy Manager,PRIVMGR,2020 FEB - CCPA/GDPR Compliance (Portal),6678329605731398568,2020-02-29
Privacy Manager,PRIVMGR,2020 Q1 - CCPA/GDPR Compliance (Portal),6670178372287166185,2020-03-31
Privacy Manager,PRIVMGR,2020 MAR - CCPA/GDPR Compliance (Portal),6678329746282220584,2020-03-31
Unified Services,UNINAV,2019 NOV,6741031498434321612,2019-11-29
Unified Services,UNINAV,2020 FEB,6755818653392168286,2019-12-05
Unified Services,UNINAV,2019 Q4,6649001113162066695,2019-12-31
Unified Services,UNINAV,2019 DEC,6741031925337139478,2019-12-31
Unified Services,UNINAV,2020 JAN,6755818403202986494,2020-01-31
Unified Services,UNINAV,2020 APR,6755818994944549656,2020-02-28
Unified Services,UNINAV,2020 Q1,6662063663535812064,2020-03-31
Unified Services,UNINAV,2020 MAR,6755819197221689292,2020-03-31
Unified Services,UNINAV,2020 Q2,6738825624648984444,2020-06-30
Unified Services,UNINAV,2020 Q3,6738826398099230902,2020-09-30
Eventing,EVE,November 2019,6623445516365537402,2019-11-30
Eventing,EVE,December 2019,6689113261684798253,2019-12-26
Eventing,EVE,January 2020,6689114695550229013,2020-01-30
Eventing,EVE,February 2020,6735856854643586821,2020-02-28
Eventing,EVE,March 2020,6746548209858199660,2020-03-31
Eventing,EVE,April 2020,6756950971102857915,2020-04-30
Integration Services,INT,2019 NOV,6647825904701762657,2019-11-29
Integration Services,INT,2019 DEC,6647825964341859212,2019-12-31
Integration Services,INT,2020 JAN,6651529676348402335,2020-01-31
Integration Services,INT,2020 FEB,6662784529962584217,2020-02-28
Integration Services,INT,2020 MAR,6662784600482606362,2020-03-31
Integration Services,INT,2020 APR,6693096994875310837,2020-04-30
Integration Services,INT,2020 MAY,6693097305815959379,2020-05-29
Integration Services,INT,2020 JUN,6693097551613684104,2020-06-30
Integration Services,INT,2020 JUL,6741459960560832735,2020-07-31
Integration Services,INT,2020 AUG,6741460880966017781,2020-08-31
Integration Services,INT,2020 SEP,6741461128161898694,2020-09-30
Integration Services,INT,2020 OCT,6741461288188769400,2020-10-31
AuthN,AUTHN,2019 NOV,6681321893511990818,2019-11-30
AuthN,AUTHN,2019 DEC,6651591235206857843,2019-12-31
AuthN,AUTHN,2020 JAN,6705044264704563219,2020-01-31
AuthN,AUTHN,2020 FEB,6705044319175996220,2020-02-29
AuthN,AUTHN,Q1 2020,6662336664578571848,2020-03-30
AuthN,AUTHN,2020 MAR,6705044390267663943,2020-03-31
AuthN,AUTHN,Q2 2020,6699776005119137547,2020-06-30
AuthN,AUTHN,Q3 2020,6699776700231544847,2020-09-30
AuthZ,AUTHZ,2019 NOV,6681651931574425016,2019-11-30
AuthZ,AUTHZ,2019 DEC,6681652139568685360,2019-12-31
AuthZ,AUTHZ,2020 JAN,6704269551260384674,2020-01-31
AuthZ,AUTHZ,2020 FEB,6705038766368616840,2020-02-29
AuthZ,AUTHZ,2020 MAR,6738814263841002590,2020-03-31
Notifications,NOTIFY,2019 NOV,6697188993551809421,2019-11-30
Notifications,NOTIFY,2019 DEC,6697189064117395061,2019-12-31
Notifications,NOTIFY,2020 JAN,6737631013162411144,2020-01-31
Notifications,NOTIFY,2020 FEB,6737631123201294981,2020-02-29
Notifications,NOTIFY,2020 MAR,6737632949351385733,2020-03-31
Notifications,NOTIFY,2020 APR,6754406027617471001,2020-04-30
Notifications,NOTIFY,2020 MAY,6756207759874927901,2020-05-31
Notifications,NOTIFY,2020 Q3,6737349518992470181,2020-06-30
Notifications,NOTIFY,2020 JUN,6756207925798499926,2020-06-30
Tenancy,TENANCY,2019 NOV,6681681761358264422,2019-11-30
Tenancy,TENANCY,2019 DEC,6681681807265826851,2019-12-31
Tenancy,TENANCY,2020 JAN,6706166495249465311,2020-01-31
Tenancy,TENANCY,2020 FEB,6738804576695062365,2020-02-29
Tenancy,TENANCY,2020 MAR,6738805511135278909,2020-03-31
Tenancy,TENANCY,2020 APR,6738805648195804260,2020-04-30
Tenancy,TENANCY,2020 MAY,6738842085938221926,2020-05-31
Tenancy,TENANCY,2020 JUN,6745082676110054360,2020-06-30
Tenancy,TENANCY,2020 JUL,6745082823391236627,2020-07-31
Tenancy,TENANCY,2020 AUG,6745082923949389730,2020-08-31
Tenancy,TENANCY,2020 SEPT,6745083067942691188,2020-09-30
Tenancy,TENANCY,2020 OCT,6748415221739040274,2020-10-31
Workflow,WORKFLOW,2019 NOV,6697300469201077441,2019-11-30
Workflow,WORKFLOW,2019 DEC,6697300545763675042,2019-12-31
Workflow,WORKFLOW,2020 JAN,6737369254246005239,2020-01-31
Workflow,WORKFLOW,2020 FEB,6737369414135755797,2020-02-29
Workflow,WORKFLOW,2020 MAR,6737369993459301713,2020-03-31
Workflow,WORKFLOW,2020 APR,6754426075963346299,2020-04-30
Workflow,WORKFLOW,2020 MAY,6754426566607416758,2020-05-31
Workflow,WORKFLOW,2020 Q2,6714320206429666435,2020-06-30
Workflow,WORKFLOW,2020 JUN,6754426873796826655,2020-06-30
Launch CU,LNCCU,EFM Release,6756587091412199452,2019-11-29
Launch CU,LNCCU,2019 NOV,6643820241574688415,2019-11-30
Launch CU,LNCCU,2019 DEC,6643820319195595889,2019-12-31
Launch CU,LNCCU,2020 JAN,6683552759494494847,2020-01-31
Launch CU,LNCCU,2020 FEB,6683552892499402476,2020-02-28
Launch CU,LNCCU,2020 MAR,6683552997808594789,2020-03-31
Launch CU,LNCCU,2020 APR,6683553102530407507,2020-04-30
Launch CU,LNCCU,2020 MAY,6683553203450539666,2020-05-29
Launch CU,LNCCU,2020 JUN,6683553292560810112,2020-06-30
Launch CU,LNCCU,2020 JUL,6690955022033872441,2020-07-31
Launch CU,LNCCU,2020 AUG,6690955173602025406,2020-08-31
Launch CU,LNCCU,2020 SEP,6690955316545554826,2020-09-30
Launch CU,LNCCU,2020 OCT,6690955454035395460,2020-10-30
Launch EXP/Serviceability,LNCHEXP,2019 NOV,6631245382400061370,2019-11-30
Launch EXP/Serviceability,LNCHEXP,2019 DEC,6631245576503962837,2019-12-31
Launch EXP/Serviceability,LNCHEXP,2020 JAN,6733177863921310371,2020-01-31
Launch EXP/Serviceability,LNCHEXP,2020 FEB,6733178176749308718,2020-02-29
Launch EXP/Serviceability,LNCHEXP,2020 MAR,6746249161223375584,2020-03-31
Launch EXP/Serviceability,LNCHEXP,2020 APR,6755573253443061694,2020-04-30
Launch EXP/Serviceability,LNCHEXP,May 2020,6755548234184413372,2020-05-31
Launch EXP/Serviceability,LNCHEXP,2020 MAY,6755573009802617566,2020-05-31
Launch EXP/Serviceability,LNCHEXP,"2020 Q2 (APR, MAY, JUN)",6746249409142807595,2020-06-30
Tax Data Store,TAXDATASTO,Tax Document Storage,6735094737333071810,2019-12-15
Tax Data Store,TAXDATASTO,Tax Data Store 1.1.0,6731081373755586873,2019-12-20
Tax Data Store,TAXDATASTO,Tax Document Recognition 1.1.0,6731331885391991517,2019-12-20
Tax Data Store,TAXDATASTO,Tax Data Store 1.2.0,6731111822641702182,2020-01-20
Tax Data Store,TAXDATASTO,Exception Management System 1.0.0,6735757876754450353,2020-06-19
USMP,USMP,2019 NOV,6681648996004268764,2019-11-22
USMP,USMP,2019 DEC,6733193389182109080,2019-12-20
USMP,USMP,2020 JAN,6681650456908775992,2020-01-15
USMP,USMP,2020 FEB,6699837163120078993,2020-02-21
USMP,USMP,2020 MAR,6699840556518515599,2020-03-20
USMP,USMP,2020 APR,6699840888060357640,2020-04-17
USMP,USMP,2020 MAY,6699841326865281833,2020-05-18
USMP,USMP,2020 JUNE,6731071626841528623,2020-06-19
Employee Pay,EEPAY,2019 NOV,6525756306939167655,2019-11-29
Employee Pay,EEPAY,2019 DEC,6525756510132334649,2019-12-27
Employee Pay,EEPAY,2020 JAN,6566638581442166144,2020-01-31
Employee Pay,EEPAY,2020 FEB,6566661421330818424,2020-02-28
Employee Pay,EEPAY,2020 MAR,6566661580443475363,2020-03-31
Employee Pay,EEPAY,2020 APR,6566661889480929305,2020-04-30
Employee Pay,EEPAY,2020 MAY,6566662278914022421,2020-05-31
Employee Pay,EEPAY,2020 JUN,6566662448127787190,2020-06-30
Employee Pay,EEPAY,2020 JUL,6566662580116313777,2020-07-31
Employee Pay,EEPAY,2020 AUG,6566665003806586815,2020-08-31
Employee Pay,EEPAY,2020 SEP,6566665111463174692,2020-09-30
Employee Pay,EEPAY,2020 OCT,6566665250541636328,2020-10-31
Tax Filing Canada,TAXFCAN,2020 JAN,6546183883601080780,2020-01-31
Tax Filing Canada,TAXFCAN,2020 FEB,6546189346108321672,2020-02-29
Tax Filing Canada,TAXFCAN,2020 MAR,6547691005068837581,2020-03-31
Tax Filing Canada,TAXFCAN,2020 APR,6548831737054453488,2020-04-30
Tax Filing Canada,TAXFCAN,2020 MAY,6548832247265697189,2020-05-31
Tax Filing Canada,TAXFCAN,2020 JUN,6548833048358360498,2020-06-30
Tax Filing Engine,TAXF,2019 NOV,6465994395335617793,2019-11-30
Tax Filing Engine,TAXF,2019 DEC,6465994547380841381,2019-12-31
Tax Filing Engine,TAXF,2020 JAN,6548785662805358295,2020-01-31
Tax Filing Engine,TAXF,2020 FEB,6548785905118540286,2020-02-29
Tax Filing Engine,TAXF,2020 MAR,6548786056628996205,2020-03-31
Tax Filing Engine,TAXF,2020 APR,6558519064496566759,2020-04-30
Tax Filing Engine,TAXF,2020 MAY,6558519190901122629,2020-05-29
Tax Filing Engine,TAXF,2020 JUN,6558519539829680000,2020-06-30
Tax Filing Engine,TAXF,2020 JUL,6558519659909916367,2020-07-31
Tax Filing Engine,TAXF,2020 AUG,6558519796809750494,2020-08-31
Tax Filing Engine,TAXF,2020 SEP,6558519935643325063,2020-09-30
Tax Filing Engine,TAXF,2020 OCT,6558520128571550642,2020-10-30
Salesforce Platform,SFPL,2019 NOV,6622969885076762767,2019-11-30
Salesforce Platform,SFPL,2019 DEC,6622969938415549549,2019-12-31
Salesforce Platform,SFPL,2020 JAN,6623053455398945897,2020-01-31
Salesforce Platform,SFPL,2020 FEB,6642014557204980532,2020-02-29
Salesforce Platform,SFPL,2020 MAR,6642014754385972020,2020-03-31
Salesforce Platform,SFPL,2020 APR,6642014866835112761,2020-04-30
Salesforce Platform,SFPL,2020 MAY,6642015022164421753,2020-05-31
Salesforce Platform,SFPL,2020 JUN,6647161837762859119,2020-06-30
Salesforce Platform,SFPL,2020 JUL,6647161963725417271,2020-07-31
Service Cloud,SFCM,2019 NOV,6622968304669099698,2019-11-30
Service Cloud,SFCM,2019 DEC,6622968366257195333,2019-12-31
Services & Support,SFCSP,2019 NOV,6622971804290321009,2019-11-30
Services & Support,SFCSP,2019 DEC,6622971880134568207,2019-12-31
Services & Support,SFCSP,2020 JAN,6701656905966621094,2020-01-31
Services & Support,SFCSP,2020 FEB,6701657041491757023,2020-02-28
Services & Support,SFCSP,2020 MAR,6701684321678878696,2020-03-31
Services & Support,SFCSP,2020 APR,6701684398633377887,2020-04-30
Services & Support,SFCSP,2020 May,6712385639682934983,2020-05-31
Services & Support,SFCSP,2020 June,6727739235332086142,2020-06-30
Services & Support,SFCSP,2020 July,6727739382273722835,2020-07-31
Services & Support,SFCSP,2020 AUG,6727759351100024886,2020-08-31
Services & Support,SFCSP,2020 SEPT,6734770233791900831,2020-09-30
Services & Support,SFCSP,2020 OCT,6743375236107293591,2020-10-31
Clonewars,DAP,2019 Q4,6701688676662477761,2019-12-31
Clonewars,DAP,2020 Q1,6712453439110151672,2020-03-31
Developer Experience,DEVX,2019 Q4,6753247724983291253,2019-12-31
Developer Experience,DEVX,2020 Q1,6753248051328357108,2020-03-31
Development Services,BD,2019 Q4,6704244115229831454,2019-12-31
Development Services,BD,2020 Q1,6722843086663686487,2020-03-31
Prod/SaaS Services,PS,2019 Q4,6701637547915191708,2019-12-31
Prod/SaaS Services,PS,2020 Q1,6745078715489004762,2020-03-31
rCloud,RC,2019 Q4,6704249039169552280,2019-12-31
rCloud,RC,2020 Q1,6722841848598144391,2020-03-31
UltiPro,ULTI,2019 Q4 - Compliance,6611497206113734093,2019-12-06
UltiPro,ULTI,2019 DEC - Mobile,6693553306806954554,2019-12-12
UltiPro,ULTI,2019 - Tax Reporting,6611497341503481545,2020-01-03
UltiPro,ULTI,2020 JAN - Mobile,6693555529546716669,2020-01-09
UltiPro,ULTI,2020 FEB - Mobile,6737301872641443353,2020-02-04
UltiPro,ULTI,2020 Q1 - Compliance,6611497460392685490,2020-02-28
UltiPro,ULTI,2020 MAR - Mobile,6737301964368978191,2020-03-03
UltiPro,ULTI,2020 APR - Mobile,6737302142418064300,2020-03-31
UltiPro,ULTI,2020 R1 - UltiPro,6671314431524878714,2020-04-20
UltiPro,ULTI,2020 MAY - Mobile,6737302230392254490,2020-05-05
UltiPro,ULTI,2020 JUN - Mobile,6737304444728061103,2020-06-02
UltiPro,ULTI,2020 Q2 - Compliance,6611500363598400647,2020-06-07
UltiPro,ULTI,2020 Q3 - Compliance,6611898133295912068,2020-09-06
UltiPro,ULTI,2020 R2 - UltiPro,6671315412483108998,2020-10-19
